time_s,measured_x_m,predicted_x_m,measured_y_m,predicted_y_m,position_error_m,measured_yaw_rad,predicted_yaw_rad,yaw_error_rad,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_error_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_error_rad
14.41,1.797052705,1.7970527053064407,28.475174719,28.47517471916544,3.4824704905151677e-10,1.544017967,1.5440179667794158,-2.205844396030443e-10,0.281740673,0.28174067284171345,-1.5828655053340412e-10,0.013769215,0.013769215127522444,1.2752244399338863e-10
14.42,1.797277832,1.7972778320412246,28.495173442,28.495173442364404,3.667298156143885e-10,1.546901458,1.5469014584056664,4.056666114138352e-10,0.277705139,0.27770513943240166,4.3240167002522867e-10,0.013711199,0.013711199055500289,5.550028839285126e-11
14.43,1.797458686,1.7974586864002366,28.515172615,28.51517261545559,6.064248449317664e-10,1.549618299,1.5496182991068554,1.0685541340649252e-10,0.282824605,0.2828246053253052,3.253051716889388e-10,0.013948074,0.013948073782244197,-2.1775580297256347e-10
14.44,1.797568641,1.797568641373987,28.535172303,28.535172303697628,7.915503883416308e-10,1.552510392,1.5525103922174885,2.1748824963196967e-10,0.278377819,0.2783778190585958,5.859579488287636e-11,0.013842659,0.013842658541924156,-4.580758446171007e-10
14.45,1.797634992,1.797634992340213,28.555172184,28.555172184577984,6.706789345088394e-10,1.55523261,1.555232609999063,-9.370282327836321e-13,0.283248794,0.28324879375520573,-2.4479429594492785e-10,0.014045387,0.014045387449750493,4.4975049379170073e-10
14.46,1.79763094,1.7976309404414483,28.575172174,28.57517217477669,8.933785205786386e-10,1.558128121,1.5581281213963134,3.963132044759732e-10,0.278650051,0.27865005105770235,5.770234290380927e-11,0.013915107,0.013915107309090057,3.0909005736823314e-10
14.47,1.797609054,1.7976090546174903,28.59517216,28.5951721606372,8.873098348739507e-10,1.560560114,1.560560114193092,1.9309176479964663e-10,0.197781646,0.19778164627350975,2.7350974263207206e-10,0.010622442,0.010622442050515754,5.0515754773661214e-11
14.48,1.797610325,1.7976103252092217,28.615172157,28.6151721574274,4.758605583992538e-10,1.562233785,1.5622337849453922,-5.46078737784228e-11,0.158324871,0.15832487143486285,4.3486284018179333e-10,0.008801321,0.008801321308806013,3.088060120115532e-10
14.49,1.797598633,1.7975986331713456,28.635172152,28.63517215187717,2.108222624772936e-10,1.563739091,1.563739091131664,1.3166401302555641e-10,0.127956584,0.1279565841196517,1.1965167745486838e-10,0.007362495,0.007362495110815841,1.1081584087857532e-10
14.5,1.797595038,1.7975950381005275,28.655172148,28.655172148721363,7.2833522955788e-10,1.564874445,1.5648744445444631,-4.5553694150157753e-10,0.117709019,0.11770901855955976,-4.404402398350271e-10,0.006684761,0.0066847608011601865,-1.9883981353802094e-10
14.51,1.797568564,1.7975685642660066,28.675172128,28.675172128614516,6.696192477478641e-10,1.566066202,1.566066201541286,-4.587139557088449e-10,0.104258695,0.10425869537139285,3.7139284703169295e-10,0.005961953,0.005961952509561266,-4.904387338952598e-10
14.52,1.797543532,1.7975435324762354,28.69517211,28.695172110037635,4.777201662966496e-10,1.567018294,1.5670182940695607,6.956080156328426e-11,0.103827692,0.10382769151543844,-4.845615575455042e-10,0.005740274,0.005740273990055522,-9.944478400469858e-12
14.53,1.797491072,1.7974910723967839,28.715172038,28.715172038349532,5.28782872627104e-10,1.568102467,1.5681024668053087,-1.9469137413352655e-10,0.096086726,0.09608672637388613,3.738861303892449e-10,0.005313296,0.005313296099359087,9.935908693026185e-11
