interval_start_index,partition,time_s,speed_mps,steer_rad,input_steer_vel_radps,input_accel_x_mps2,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_residual_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_residual_rad
64,train,0.65,1.934561532,0.064,-3.2,0.311159913,0.248232756,0.2482327558758396,-1.241604041801736e-10,0.012643923,0.012643922847588286,-1.5241171345825588e-10
65,train,0.66,1.937673132,0.032,3.2,0.296364259,0.261580474,0.2615804736153887,-3.8461128726297034e-10,0.013400554,0.013400554097033212,9.703321132703557e-11
66,train,0.67,1.940636774,0.064,-3.2,0.282272139,0.262009992,0.26200999243225115,4.322511237830895e-10,0.013643474,0.013643473779459191,-2.2054080783817653e-10
67,train,0.68,1.943459496,0.032,3.2,0.268850099,0.270024788,0.2700247876814712,-3.185288144358367e-10,0.01407996,0.014079960401489471,4.0148947014206904e-10
68,train,0.69,1.946147997,0.064,-3.2,0.256066277,0.267362343,0.26736234318608304,1.8608303786749048e-10,0.014107376,0.01410737565612434,-3.4387565885085625e-10
69,train,0.7,1.948708659,0.032,3.2,0.243890325,0.273549102,0.27354910165939145,-3.406085413715232e-10,0.014396469,0.014396469142760335,1.427603348036488e-10
70,train,0.71,1.951147563,0.064,-3.2,0.23229334,0.269805445,0.2698054453897613,3.897613343184503e-10,0.014321538,0.014321538039198082,3.9198082280034185e-11
71,train,0.72,1.953470496,0.032,3.2,0.221247792,0.275326385,0.27532638515330365,1.533036475542815e-10,0.014538806,0.014538806284940326,2.8494032654202694e-10
72,train,0.73,1.955682974,0.064,-3.2,0.210727459,0.271176952,0.27117695183543317,-1.645668601391037e-10,0.014412937,0.01441293697486415,-2.5135849998636495e-11
73,train,0.74,1.957790248,0.032,3.2,0.200707369,0.276429721,0.27642972071521704,-2.847829749796915e-10,0.014593936,0.014593935609474421,-3.905255788888562e-10
74,train,0.75,1.959797322,0.064,-3.2,0.191163733,0.272110049,0.27211004887744816,-1.2255185755094544e-10,0.014442091,0.014442090679752682,-3.202473182473131e-10
75,train,0.76,1.961708959,0.032,3.2,0.182073898,0.277237463,0.2772374631854687,1.8546869595681414e-10,0.014604558,0.014604557982514452,-1.7485547731954654e-11
76,train,0.77,1.963529698,0.064,-3.2,0.173416284,0.272834471,0.2728344713036193,3.036192963712381e-10,0.014439477,0.014439477752421078,7.524210785675445e-10
77,train,0.78,1.965263861,0.032,3.2,0.16517034,0.277891738,0.27789173731065936,-6.893406401253799e-10,0.014592633,0.014592632620909929,-3.790900718336765e-10
78,train,0.79,1.966915565,0.064,-3.2,0.15731649,0.27344024,0.2734402404957223,4.957222965451535e-10,0.014421036,0.0144210361494745,1.4947450048541366e-10
79,train,0.8,1.96848873,0.032,3.2,0.149836091,0.278451044,0.2784510437249362,-2.7506380506636674e-10,0.01456979,0.014569789897853338,-1.0214666265606631e-10
80,train,0.81,1.96998709,0.064,-3.2,0.142711385,0.273966594,0.2739665936508097,-3.491902877961195e-10,0.014395279,0.014395278963792611,-3.620738951715108e-11
81,train,0.82,1.971414204,0.032,3.2,0.135925458,0.278942529,0.27894252882972553,-1.702744611975504e-10,0.014542271,0.014542270831420002,-1.6857999891872755e-10
82,train,0.83,1.972773459,0.064,-3.2,0.129462203,0.274433033,0.2744330336686006,6.686006193135086e-10,0.014366783,0.014366782677644697,-3.2235530217361585e-10
83,train,0.84,1.974068081,0.032,3.2,0.123306275,0.279380653,0.2793806528427787,-1.5722129154127629e-10,0.014513424,0.014513424831497795,8.314977942291968e-10
84,train,0.85,1.975301144,0.064,-3.2,0.117443062,0.27485071,0.274850710110344,1.1034401170562091e-10,0.014337987,0.014337987058659298,5.865929790516144e-11
85,train,0.86,1.976475574,0.032,3.2,0.111858644,0.279774248,0.27977424744680623,-5.53193768570992e-10,0.014485018,0.014485017545410723,-4.545892776791627e-10
86,train,0.87,1.977594161,0.064,-3.2,0.106539766,0.275226876,0.27522687661498435,6.149843412295297e-10,0.01431016,0.014310159768729312,-2.3127068836392706e-10
87,train,0.88,1.978659558,0.032,3.2,0.1014738,0.280129379,0.2801293791757183,1.7571827326534617e-10,0.014457945,0.01445794510656161,1.0656161023026023e-10
88,train,0.89,1.979674296,0.064,-3.2,0.096648721,0.275566768,0.27556676795381996,-4.6180059776190774e-11,0.014283916,0.014283916350684525,3.5068452482189816e-10
89,train,0.9,1.980640784,0.032,3.2,0.092053074,0.280450611,0.2804506106231053,-3.768947376414644e-10,0.014432617,0.014432616790280817,-2.0971918299195202e-10
90,train,0.91,1.981561314,0.064,-3.2,0.08767595,0.275874469,0.2758744692745495,2.7454949425020914e-10,0.014259516,0.014259516297362305,2.9736230491850257e-10
91,train,0.92,1.982438074,0.032,3.2,0.083506959,0.280741605,0.2807416048332416,-1.6675838487856254e-10,0.014409181,0.014409180842996338,-1.5700366180759762e-10
92,train,0.93,1.983273143,0.064,-3.2,0.079536203,0.27615334,0.2761533403592048,3.5920477703399456e-10,0.014237024,0.01423702388058156,-1.1941843867935287e-10
93,train,0.94,1.984068505,0.032,3.2,0.075754256,0.281005436,0.28100543553535634,-4.6464365688336784e-10,0.014387641,0.014387641140918114,1.4091811398331267e-10
94,train,0.95,1.984826048,0.064,-3.2,0.072152142,0.276406249,0.27640624916763273,1.6763274102160608e-10,0.0142164,0.014216399490544622,-5.094553789247724e-10
95,train,0.96,1.985547569,0.032,3.2,0.068721307,0.281244759,0.2812447588747001,-1.2529993709264886e-10,0.014367927,0.014367926883905643,-1.1609435808523916e-10
96,train,0.97,1.986234783,0.064,-3.2,0.065453609,0.276635699,0.27663569937526006,3.7526004526000634e-10,0.014197551,0.014197551335990247,3.359902477767518e-10
97,train,0.98,1.986889319,0.032,3.2,0.06234129,0.281461913,0.28146191246127505,-5.387249535360183e-10,0.014349931,0.014349930748275582,-2.5172441735221707e-10
98,train,0.99,1.987512732,0.064,-3.2,0.059376962,0.27684391,0.2768439106114461,6.114460604500493e-10,0.014180362,0.014180362253237773,2.5323777276542447e-10
99,train,1.0,1.988106501,0.032,3.2,0.056553587,0.281658981,0.281658980545799,-4.5420095462489485e-10,0.014333532,0.014333532016133509,1.6133509458948758e-11
100,train,1.01,1.988672037,0.064,-3.2,0.053864464,0.277032869,0.2770328691841377,1.8413770508374228e-10,0.014164708,0.014164708367668644,3.676686437942278e-10
101,train,1.02,1.989210682,0.032,3.2,0.051303209,0.281837835,0.28183783433110277,-6.688972153945372e-10,0.014318606,0.014318605324493593,-6.755064060198768e-10
102,train,1.03,1.989723714,0.064,-3.2,0.048863741,0.277204364,0.27720436439328305,3.9328307277486374e-10,0.014150466,0.014150466358285943,3.5828594258102697e-10
103,train,1.04,1.990212351,0.032,3.2,0.04654027,0.282000162,0.28200016164813363,-3.5186636937467597e-10,0.01430503,0.01430502955368177,-4.463182306374547e-10
104,train,1.05,1.990677754,0.064,-3.2,0.04432728,0.277360011,0.2773600111717015,1.7170148636225235e-10,0.014137516,0.014137516246802794,2.468027952146068e-10
105,train,1.06,1.991121027,0.032,3.2,0.042219518,0.282147489,0.2821474893233399,3.233399104018986e-10,0.014292688,0.014292688297118297,2.971182969796482e-10
106,train,1.07,1.991543222,0.064,-3.2,0.04021198,0.277501273,0.27750127270697167,-2.930283238278264e-10,0.014125746,0.014125745729501784,-2.7049821584024247e-10
107,train,1.08,1.991945342,0.032,3.2,0.038299901,0.282281201,0.28228120093967474,-6.03252447994862e-11,0.014281473,0.014281473485813476,4.858134762530941e-10
108,train,1.09,1.992328341,0.064,-3.2,0.03647874,0.277629477,0.2776294768326885,-1.673114979894308e-10,0.014115052,0.014115051499023338,-5.009766611968614e-10
109,train,1.1,1.992693128,0.032,3.2,0.034744176,0.282402552,0.28240255199832165,-1.6783241463258491e-12,0.014271285,0.014271285173938417,1.7393841748869487e-10
110,train,1.11,1.99304057,0.064,-3.2,0.033092091,0.277745827,0.27774582674246484,-2.575351598643749e-10,0.014105338,0.014105337539337863,-4.6066213690854063e-10
111,train,1.12,1.993371491,0.032,3.2,0.031518562,0.282512682,0.2825126820369876,3.698757966574817e-11,0.014262031,0.01426203136437608,3.6437607965622565e-10
112,train,1.13,1.993686676,0.064,-3.2,0.030019854,0.277851415,0.2778514154178475,4.1784753435081257e-10,0.014096515,0.014096514929081124,-7.091887667398655e-11
113,train,1.14,1.993986875,0.032,3.2,0.02859241,0.282612625,0.28261262472639664,-2.736033621886236e-10,0.014253627,0.014253627090793688,9.079368853970315e-11
114,train,1.15,1.994272799,0.064,-3.2,0.027232841,0.277947235,0.27794723517730163,1.7730161783191534e-10,0.014088503,0.01408850324001554,2.4001553869390513e-10
115,train,1.16,1.994545127,0.032,3.2,0.025937919,0.282703321,0.28270332067257975,-3.274202575731522e-10,0.014245996,0.014245995782000384,-2.1799961662238854e-10
116,train,1.17,1.994804507,0.064,-3.2,0.024704571,0.278034187,0.27803418754040127,5.404012792808999e-10,0.014081229,0.014081228854650171,-1.4534982939462537e-10
117,train,1.18,1.995051552,0.032,3.2,0.023529869,0.282785623,0.28278562264785434,-3.5214564597652043e-10,0.014239068,0.014239067623971747,-3.7602825367355486e-10
118,train,1.19,1.995286851,0.064,-3.2,0.022411024,0.278113091,0.27811309090562075,-9.437922665611609e-11,0.014074624,0.014074624845769435,8.45769433654997e-10
119,train,1.2,1.995510961,0.032,3.2,0.021345379,0.282860306,0.282860305717275,-2.827250100700951e-10,0.014232777,0.014232777107085575,1.0708557478256164e-10
120,train,1.21,1.995724415,0.064,-3.2,0.020330407,0.278184688,0.27818468805869107,5.86910520183892e-11,0.014068629,0.014068628546121363,-4.5387863606416445e-10
121,train,1.22,1.995927719,0.032,3.2,0.019363696,0.282928073,0.2829280729724635,-2.753652861287037e-11,0.014227067,0.01422706755808589,5.580858900011698e-10
122,train,1.23,1.996121356,0.064,-3.2,0.018442952,0.278249655,0.2782496543239472,-6.760527693217e-10,0.014063186,0.014063186064874942,6.487494222384704e-11
123,train,1.24,1.996305786,0.032,3.2,0.01756599,0.282989564,0.28298956378788703,-2.121129938359445e-10,0.014221884,0.014221884080047814,8.004781386350412e-11
124,train,1.25,1.996481445,0.064,-3.2,0.016730727,0.278308603,0.2783086028108746,-1.891253820218708e-10,0.014058246,0.014058246027809964,2.7809964400771214e-11
125,train,1.26,1.996648753,0.032,3.2,0.015935181,0.283045358,0.2830453577761847,-2.2381529962700597e-10,0.01421718,0.01421717965570237,-3.4429762860166413e-10
126,train,1.27,1.996808105,0.064,-3.2,0.015177463,0.278362089,0.2783620894997214,4.997214309021558e-10,0.014053763,0.014053762580377566,-4.19622434022493e-10
127,train,1.28,1.996959879,0.032,3.2,0.014455775,0.283095982,0.28309598205840414,5.840411487767483e-11,0.01421291,0.01421291041284451,4.128445103140921e-10
128,train,1.29,1.997104437,0.064,-3.2,0.013768403,0.278410619,0.27841061918138366,1.8138363033770588e-10,0.014049693,0.0140496929921128,-7.887199574008186e-12
129,train,1.3,1.997242121,0.032,3.2,0.013113715,0.283141915,0.28314191468060046,-3.193995623540502e-10,0.014209035,0.014209034792382925,-2.0761707457406242e-10
130,train,1.31,1.997373258,0.064,-3.2,0.012490158,0.278454651,0.2784546513106482,3.106482293624424e-10,0.014046,0.014045999879357994,-1.206420050664514e-10
131,train,1.32,1.99749816,0.032,-3.2,0.011896251,0.197596741,0.19759674123816484,2.3816484895355927e-10,0.01072562,0.010725620708582259,7.085822588404067e-10
