time_s,dt_to_next_s,input_steering_velocity_radps,input_accel_x_mps2,gym_x_m,gym_y_m,gym_steer_rad,gym_speed_mps,gym_theta_rad,gym_yaw_rate_radps,dynamic_x_m,dynamic_y_m,dynamic_steer_rad,dynamic_speed_mps,dynamic_theta_rad,dynamic_yaw_rate_radps,dynamic_slip_angle_rad,kinematic_yaw_rate_radps,error_x_m,error_y_m,error_position_m,error_yaw_rad,error_yaw_rate_radps,error_speed_mps
0.5,0.010000000000000009,3.1999999999999944,9.51,1.016881766,1.13906232,0.256,4.743994388,1.39907921,1.415742955,1.0147596537888868,1.1341111861627402,0.25599999999999934,4.73298877562,1.3996621391313182,1.4153174216280235,-0.007383228840892991,3.7262159354077684,-0.0021221122111132473,-0.004951133837259869,0.005386751016244912,0.0005829291313181884,-0.0004255333719764831,-0.011005612379999974
0.51,0.010000000000000009,-3.1999999999999944,9.51,1.025146073,1.186259384,0.288,4.839094388,1.413722359,1.518204704,1.0229666614018451,1.1812065367564384,0.2879999999999993,4.82808877562,1.4143013410833278,1.5178405060146254,-0.009895714597684492,4.290887992908,-0.0021794115981548234,-0.005052847243561587,0.005502826562862007,0.0005789820833275172,-0.00036419798537457027,-0.011005612379999974
0.52,0.010000000000000009,3.1999999999999944,9.51,1.032977873,1.234493832,0.256,4.934194388,1.429350665,1.593814367,1.0307413042586155,1.2293387518509924,0.25599999999999934,4.923188775620001,1.4299263023536248,1.5935110996385111,-0.013193558444189792,3.8756103513681435,-0.002236568741384559,-0.005155080149007674,0.005619349702379403,0.0005756373536245363,-0.00030326736148889033,-0.011005612379999086
0.53,0.010000000000000009,-3.1999999999999944,9.51,1.040358499,1.28376118,0.288,5.029294388,1.445538569,1.650455949,1.0380649571281857,1.2785033339106158,0.2879999999999993,5.018288775620001,1.4461115494606966,1.6502301249195352,-0.016849307591358456,4.459540809078508,-0.0022935418718144085,-0.005257846089384177,0.005736312388409336,0.0005729804606966482,-0.00022582408046467606,-0.011005612379999086
0.54,0.010000000000000009,3.1999999999999944,9.51,1.047237648,1.334061054,0.256,5.124394388,1.462293317,1.688049551,1.044887354791933,1.3286998719655407,0.25599999999999934,5.113388775620002,1.462864471987828,1.6879129739425005,-0.02086805802192445,4.025004767328519,-0.0023502932080670114,-0.005361182034459233,0.005853729663256954,0.0005711549878277822,-0.00013657705749947624,-0.011005612379998198
0.55,0.010000000000000009,3.2,9.51,1.053595918,1.385387812,0.288,5.219494388,1.479261565,1.713326783,1.0511891324019298,1.3799227128204419,0.2879999999999993,5.208488775620002,1.479831886853292,1.7132992837387702,-0.024917235761409612,4.628193625249016,-0.0024067855980702824,-0.005465099179558175,0.005971593251175599,0.0005703218532921994,-2.7499261229912975e-05,-0.011005612379998198
0.56,0.009999999999999898,-3.2000000000000357,9.51,1.05936757,1.437740639,0.32,5.314594388,1.4967014,1.781098843,1.0569045794472172,1.4321709946517498,0.31999999999999934,5.303588775620002,1.4972720145634035,1.7811843713382585,-0.028374329196236985,5.2564904425252115,-0.0024629905527828733,-0.005569644348250247,0.006089931085742564,0.0005706145634034598,8.552833825836714e-05,-0.01100561237999731
0.57,0.010000000000000009,-3.1999999999999944,9.51,1.064485639,1.491116819,0.288,5.409694388,1.514812269,1.828352442,1.0619667520534237,1.485441954813127,0.28799999999999965,5.398688775620001,1.515384281346769,1.8285465799386003,-0.032334742269239866,4.7968464414195235,-0.0025188869465762043,-0.005674864186872908,0.006208774032696367,0.0005720123467689575,0.00019413793860034723,-0.011005612379999086
0.58,0.010000000000000009,3.1999999999999944,9.51,1.068944702,1.545506373,0.256,5.504794388,1.533035427,1.805652914,1.0663702546251554,1.5397256183254617,0.2559999999999997,5.4937887756200015,1.5336099702295876,1.805968302930719,-0.037110118475655166,4.323793599249269,-0.0025744473748445795,-0.005780754674538313,0.006328104289045868,0.0005745432295878317,0.0003153889307190294,-0.011005612379998198
0.59,0.010000000000000009,3.2,9.51,1.072741173,1.600899444,0.288,5.599894388,1.550921261,1.780860168,1.0701115217980908,1.595012138161632,0.28799999999999965,5.588888775620002,1.5514996506117793,1.7813160784621542,-0.0414209815439932,4.965499257590032,-0.0026296512019092777,-0.00588730583836794,0.0064479016337242725,0.0005783896117792509,0.0004559104621542076,-0.011005612379998198
0.6,0.010000000000000009,-3.2,9.51,1.075811172,1.657289886,0.32,5.694994388,1.568825961,1.808056695,1.073126684173261,1.6512953262214742,0.3199999999999997,5.683988775620002,1.569409619193988,1.8086528572904745,-0.04482460507986242,5.6327315661849,-0.0026844878267391348,-0.00599455977852581,0.006568197761199796,0.0005836581939879792,0.0005961622904744335,-0.01100561237999731
0.61,0.010000000000000009,3.2,9.51,1.078090925,1.71466955,0.288,5.790094388,1.587039786,1.823274491,1.0753519701956287,1.7085669901117113,0.28799999999999965,5.779088775620003,1.587630055616149,1.8239992999522225,-0.04845757973240418,5.13415207376054,-0.002738954804371252,-0.006102559888288672,0.006689029123164154,0.0005902696161488308,0.0007248089522224888,-0.01100561237999731
0.62,0.010000000000000009,-3.2,9.51,1.079563551,1.773026894,0.32,5.885194388,1.605270205,1.831320892,1.0767705000597223,1.766815585962014,0.3199999999999997,5.874188775620003,1.6058683504019235,1.8321702193770555,-0.05203898818904491,5.820852128014744,-0.002793050940277597,-0.006211308037985974,0.006810395076479392,0.0005981454019234889,0.0008493273770555643,-0.01100561237999731
