time_s,measured_x_m,predicted_x_m,measured_y_m,predicted_y_m,position_error_m,measured_yaw_rad,predicted_yaw_rad,yaw_error_rad,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_error_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_error_rad
14.53,1.744396716,1.7443967153468847,28.577137181,28.577137181843618,1.0668874529965143e-09,1.554378278,1.5543782786775031,6.775033867256752e-10,0.278650051,0.27865005104170426,4.1704251163565687e-11,0.013915107,0.01391510730219228,3.021922798801535e-10
14.54,1.744449827,1.7444498263025117,28.597137109,28.597137109159394,7.154697863237562e-10,1.556810271,1.5568102714743555,4.743556658581838e-10,0.197781646,0.19778164630851575,3.08515740732318e-10,0.010622442,0.01062244204598604,4.5986041363743624e-11
14.55,1.744526094,1.7445260935519604,28.61713696,28.61713696057207,7.266374528938518e-10,1.558483942,1.5584839422271006,2.2710056057917427e-10,0.158324871,0.15832487147044072,4.704407141620237e-10,0.008801321,0.008801321305132634,3.0513263270248725e-10
14.56,1.744589399,1.7445893982541492,28.637136858,28.637136858252042,7.872851231388923e-10,1.559989248,1.5599892484136735,4.1367353986743183e-10,0.127956584,0.1279565841571883,1.571882901618693e-10,0.007362495,0.007362495107881596,1.078815960176005e-10
14.57,1.7446608,1.744660799875422,28.657136728,28.657136727964133,1.296386579311739e-10,1.561124602,1.5611246018268394,-1.7316059697236597e-10,0.117709019,0.11770901858091044,-4.1908955472624854e-10,0.006684761,0.00668476079831351,-2.016864904252902e-10
14.58,1.744709323,1.7447093228302826,28.677136666,28.677136666516873,5.440242223900304e-10,1.562316359,1.5623163588237983,-1.762017198814192e-10,0.104258695,0.10425869539165476,3.9165476417579725e-10,0.005961953,0.005961952507086941,-4.929130584599428e-10
14.59,1.744759288,1.7447592878254745,28.697136601,28.69713660119214,2.595690845393143e-10,1.563268451,1.5632684513522754,3.5227554207040157e-10,0.103827692,0.1038276915215691,-4.784309060035241e-10,0.005740274,0.005740273987487201,-1.2512798956698656e-11
14.6,1.744781825,1.7447818245246736,28.717136585,28.717136585608085,7.71818530603104e-10,1.564352624,1.5643526240880243,8.802425455201046e-11,0.096086726,0.09608672638230815,3.8230815735396106e-10,0.005313296,0.005313296097066058,9.706605744869146e-11
14.61,1.744802639,1.7448026387166375,28.737136571,28.737136571773288,8.23569904335751e-10,1.565241204,1.5652412046348863,6.348859216132041e-10,0.09898637,0.09898637045679869,4.567986822134884e-10,0.005287189,0.005287189150998026,1.5099802571499898e-10
14.62,1.744793789,1.7447937886772733,28.757136566,28.757136566759154,8.24904919191589e-10,1.566287619,1.5662876195841369,5.841371830683784e-10,0.093195956,0.09319595548589678,-5.141032183297867e-10,0.004991979,0.004991979382499516,3.8249951643531954e-10
14.63,1.744807013,1.744807012812709,28.777136554,28.777136554381556,4.250463195652883e-10,1.56686112,1.566861120028637,2.8637092697181288e-11,0.011598436,0.011598435980270966,-1.972903437841289e-11,0.001579165,0.0015791648964108363,-1.0358916372257831e-10
14.64,1.744882693,1.7448826920790879,28.797136403,28.797136403887386,1.2788798029004556e-09,1.566670513,1.5666705128883347,-1.1166534363837854e-10,-0.028310769,-0.0283107684728054,5.271946004747896e-10,-0.000330259,-0.00033025898082271964,1.9177280369177957e-11
14.65,1.744984258,1.7449842571819152,28.817136141,28.817136141295773,8.699108552720016e-10,1.566307925,1.5663079248921008,-1.0789946713885001e-10,-0.058964318,-0.05896431828101463,-2.810146282339332e-10,-0.001834449,-0.0018344488547390742,1.452609256838433e-10
14.66,1.745132433,1.745132432351888,28.837135587,28.837135587544697,8.466083160193051e-10,1.565573085,1.5655730855092056,5.092055666011674e-10,-0.069394931,-0.06939493125283883,-2.5283881932569585e-10,-0.002560844,-0.002560843659274,3.4072599993176245e-10
14.67,1.745295993,1.7452959922859992,28.857134914,28.857134914957864,1.1946976143134488e-09,1.564893162,1.5648931619072544,-9.274536694192648e-11,-0.082964922,-0.08296492166512022,3.3487977668666957e-10,-0.003320041,-0.003320041280314603,-2.8031460269292707e-10
14.68,1.74549907,1.7454990691115317,28.877133879,28.877133879940008,1.2934421382422297e-09,1.563972592,1.5639725924452712,4.452713753266835e-10,-0.083475663,-0.08347566335756935,-3.5756934912978267e-10,-0.003569029,-0.0035690286114339184,3.885660816542458e-10
14.69,1.745712653,1.7457126525510729,28.897132736,28.89713273601207,4.4908940436817374e-10,1.563183443,1.5631834434144496,4.1444980780624974e-10,-0.091270767,-0.09127076699634615,3.653854996343853e-12,-0.004016557,-0.004016556925090165,7.490983441188481e-11
14.7,1.745962341,1.745962340303389,28.917131173,28.917131173723604,1.0044239479510388e-09,1.56219825,1.562198250399634,3.9963410358723195e-10,-0.088408541,-0.08840854126321337,-2.6321338164603247e-10,-0.004058161,-0.0040581612142073205,-2.1420732028432088e-10
14.71,1.746220113,1.7462201121820808,28.937129509,28.937129509190648,8.398444760473715e-10,1.561370577,1.561370577054415,5.441513906134787e-11,-0.094225244,-0.094225243735927,2.640729995784241e-10,-0.004365077,-0.004365076755566366,2.444336339238462e-10
14.72,1.746537641,1.74653764011446,28.957126968,28.9571269687781,1.178820047349787e-09,1.560069766,1.5600697665325258,5.325260232780238e-10,-0.1758415,-0.17584150014680128,-1.4680126558808126e-10,-0.007786744,-0.0077867441175047784,-1.1750477847682905e-10
14.73,1.746955249,1.7469552487572875,28.977122591,28.977122591093952,2.602618923836835e-10,1.558004688,1.5580046887396772,7.396772083723135e-10,-0.215764227,-0.2157642271898752,-1.89875198897127e-10,-0.00970287,-0.009702869658205018,3.4179498294151234e-10
14.74,1.747436336,1.7474363351265187,28.99711679,28.997116790957975,1.296412635858395e-09,1.555767514,1.5557675142473553,2.473550253512258e-10,-0.246427639,-0.24642763912890683,-1.2890682965505107e-10,-0.011212136,-0.011212136410289498,-4.10289498556371e-10
14.75,1.748001585,1.7480015848799593,29.017108788,29.017108788927267,9.35003119251444e-10,1.553158003,1.5531580035213066,5.213065534803718e-10,-0.256865507,-0.25686550688464455,1.1535544741647641e-10,-0.011942379,-0.011942379360960476,-3.609604767862429e-10
