time_s,dt_to_next_s,input_accel_x_mps2,input_steer_rad,command_steer_rad,gym_x_m,gym_y_m,gym_theta_rad,gym_speed_mps,model_x_m,model_y_m,model_theta_rad,model_speed_mps,accel_y_mps2,error_x_m,error_y_m,error_position_m,error_yaw_rad,error_speed_mps
0.46,0.009999999999999953,9.51,0.192,0.237925449,0.980596195,0.960575071,1.349129514,4.363594388,0.9220000565096552,0.9661005287158089,1.473430723022263,4.352588775619999,4.646133708,-0.05859613849034473,0.0055254577158089235,0.058856079795963745,0.12430120902226305,-0.011005612380000862
0.47,0.010000000000000009,9.51,0.224,0.231580349,0.990070014,1.00365699,1.36015338,4.458694388,0.9212909768408329,1.0100949845624267,1.4992041651873995,4.447688775619999,5.111148679,-0.06877903715916711,0.006437994562426663,0.06907969112936106,0.13905078518739966,-0.011005612380000862
0.48,0.010000000000000009,9.51,0.256,0.22533762,0.999306526,1.04776245,1.37216846,4.553794388,0.9185258481704871,1.0549604664880399,1.530004552312226,4.542788775619999,5.745613213,-0.08078067782951293,0.00719801648803986,0.0811007358287066,0.15783609231222595,-0.011005612380000862
0.49,0.010000000000000009,9.51,0.224,0.287363954,1.008248285,1.092898482,1.385289741,4.648894388,0.9133813983363203,1.1005721685289886,1.5660598089075997,4.63788877562,6.269912409,-0.09486688666367982,0.007673686528988588,0.09517673901854724,0.18077006790759942,-0.011005612380000862
0.5,0.010000000000000009,9.51,0.256,0.279084199,1.016881766,1.13906232,1.39907921,4.743994388,0.9073513599367795,1.1470348818326785,1.5981634045878677,4.73298877562,6.716276633,-0.10953040606322051,0.00797256183267847,0.10982017844890735,0.19908419458786764,-0.011005612379999974
0.51,0.010000000000000009,9.51,0.288,0.270981618,1.025146073,1.186259384,1.413722359,4.839094388,0.8987359555678992,1.1940546795462197,1.635712605342846,4.82808877562,7.346735864,-0.12641011743210073,0.007795295546219716,0.1266502444602868,0.2219902463428456,-0.011005612379999974
0.52,0.010000000000000009,9.51,0.256,0.263017683,1.032977873,1.234493832,1.429350665,4.934194388,0.8871875232565736,1.2414197382731915,1.678945529114583,4.923188775620001,7.864189906,-0.14579034974342653,0.006925906273191451,0.14595476784269729,0.24959486411458265,-0.011005612379999086
0.53,0.010000000000000009,9.51,0.288,0.315495796,1.040358499,1.28376118,1.445538569,5.029294388,0.8742775739261597,1.2894181103992115,1.717988674029165,5.018288775620001,8.300628839,-0.16608092507384042,0.005656930399211557,0.1661772383177796,0.272450105029165,-0.011005612379999086
0.54,0.010000000000000009,9.51,0.256,0.305754563,1.047237648,1.334061054,1.462293317,5.124394388,0.8582343337894129,1.3374644961604352,1.762908125962607,5.113388775620002,8.650231647,-0.18900331421058714,0.0034034421604351994,0.1890339551538965,0.3006148089626066,-0.011005612379998198
0.55,0.010000000000000009,9.51,0.288,0.296433252,1.053595918,1.385387812,1.479261565,5.219494388,0.8406620961114422,1.3859864563778572,1.803445215036792,5.208488775620002,8.942699526,-0.21293382188855792,0.0005986443778571715,0.21293466340443315,0.32418365003679206,-0.011005612379998198
0.56,0.009999999999999898,9.51,0.32,0.287833616,1.05936757,1.437740639,1.4967014,5.314594388,0.8197818494145191,1.4342162148956843,1.8500511951319396,5.303588775620002,9.465817916,-0.2395857205854809,-0.0035244241043157487,0.23961164219154962,0.35334979513193954,-0.01100561237999731
0.57,0.010000000000000009,9.51,0.288,0.279850897,1.064485639,1.491116819,1.514812269,5.409694388,0.7952587571142261,1.4817705854636658,1.9029775480709032,5.398688775620001,9.890827947,-0.2692268818857738,-0.009346233536334125,0.2693890606748019,0.38816527907090315,-0.011005612379999086
0.58,0.010000000000000009,9.51,0.256,0.320623469,1.068944702,1.545506373,1.533035427,5.504794388,0.7687241409022548,1.5293257047612112,1.9512700563277559,5.4937887756200015,9.939748027,-0.3002205610977452,-0.01618066823878883,0.3006562810428192,0.4182346293277561,-0.011005612379998198
0.59,0.010000000000000009,9.51,0.288,0.311276846,1.072741173,1.600899444,1.550921261,5.599894388,0.740364143340548,1.576926853121054,1.9947950337211484,5.588888775620002,9.972628862,-0.33237702965945204,-0.023972590878945876,0.3332404161542978,0.44387377272114836,-0.011005612379998198
0.6,0.010000000000000009,9.51,0.32,0.303114782,1.075811172,1.657289886,1.568825961,5.694994388,0.7084670226650026,1.6233903507618217,2.044774070139706,5.683988775620002,10.296872732,-0.3673441493349975,-0.03389953523817835,0.36890500476412275,0.475948109139706,-0.01100561237999731
0.61,0.010000000000000009,9.51,0.288,0.295925544,1.078090925,1.71466955,1.587039786,5.790094388,0.6727576392738368,1.6682123757826035,2.1014628343152673,5.779088775620003,10.5569314,-0.4053332857261631,-0.04645717421739648,0.4079869379696278,0.5144230483152672,-0.01100561237999731
